Year,Month,Value
1941,Oct,19.43
1941,Nov,40.21
1941,Dec,35.29
1942,Jan,87.1
1942,Feb,91.41
1942,Mar,48.47
1942,Apr,22.55
1942,May,47.92
1942,Jun,33.82
1942,Jul,21.57
1942,Aug,14.63
1942,Sep,12.61
1942,Oct,27.74
1942,Nov,35.89
1942,Dec,87.09
1943,Jan,43.24
1943,Feb,87.81
1943,Mar,49.63
1943,Apr,35.14
1943,May,16.45
1943,Jun,14.88
1943,Jul,15.16
1943,Aug,17.6
1943,Sep,21.46
1943,Oct,21.31
1943,Nov,28.78
1943,Dec,38.07
1944,Jan,60.74
1944,Feb,82.21
1944,Mar,48.6
1944,Apr,20.59
1944,May,19.39
1944,Jun,13.42
1944,Jul,22.18
1944,Aug,16.91
1944,Sep,7.35
1944,Oct,11.86
1944,Nov,18.34
1944,Dec,58.97
1945,Jan,57.11
1945,Feb,63.81
1945,Mar,65.9
1945,Apr,13.71
1945,May,17.4
1945,Jun,39.51
1945,Jul,24.59
1945,Aug,20.86
1945,Sep,11.75
1945,Oct,20.11
1945,Nov,17.03
1945,Dec,58.19
1946,Jan,94.76
1946,Feb,114.97
1946,Mar,32.2
1946,Apr,12.37
1946,May,11.43
1946,Jun,15.91
1946,Jul,21.69
1946,Aug,9.05
1946,Sep,11.97
1946,Oct,7.04
1946,Nov,25.34
1946,Dec,50.38
1947,Jan,35.2
1947,Feb,108.87
1947,Mar,92.31
1947,Apr,15.93
1947,May,16.67
1947,Jun,18.41
1947,Jul,19.8
1947,Aug,33.37
1947,Sep,31.8
1947,Oct,32.83
1947,Nov,37.24
1947,Dec,57.71
1948,Jan,37.88
1948,Feb,88.16
1948,Mar,45.86
1948,Apr,39.09
1948,May,16.68
1948,Jun,28.08
1948,Jul,22.11
1948,Aug,10.27
1948,Sep,11.8
1948,Oct,12.1
1948,Nov,21.38
1948,Dec,52.07
1949,Jan,39.94
1949,Feb,106.2
1949,Mar,81.77
1949,Apr,14.25
1949,May,34.25
1949,Jun,15.52
1949,Jul,14.82
1949,Aug,11.3
1949,Sep,20.68
1949,Oct,43.5
1949,Nov,37.63
1949,Dec,57.09
1950,Jan,70.06
1950,Feb,92.61
1950,Mar,83.03
1950,Apr,34.96
1950,May,44.19
1950,Jun,37.66
1950,Jul,35.34
1950,Aug,11.6
1950,Sep,16.4
1950,Oct,54.26
1950,Nov,63.03
1950,Dec,84.35
1951,Jan,98.3
1951,Feb,68.3
1951,Mar,24.82
1951,Apr,18.17
1951,May,14.93
1951,Jun,47.24
1951,Jul,16.8
1951,Aug,15.29
1951,Sep,13.16
1951,Oct,14.68
1951,Nov,13.94
1951,Dec,23.64
1952,Jan,61.02
1952,Feb,40.08
1952,Mar,29.2
1952,Apr,31.47
1952,May,43.65
1952,Jun,22.54
1952,Jul,22.01
1952,Aug,18.15
1952,Sep,11.86
1952,Oct,37.48
1952,Nov,34.52
1952,Dec,32.03
1953,Jan,93.38
1953,Feb,82.89
1953,Mar,37.09
1953,Apr,30.3
1953,May,26.45
1953,Jun,16
1953,Jul,13.78
1953,Aug,24.39
1953,Sep,11.23
1953,Oct,21.42
1953,Nov,22.93
1953,Dec,46.27
1954,Jan,86.76
1954,Feb,78.83
1954,Mar,30.56
1954,Apr,52.98
1954,May,16.36
1954,Jun,21.01
1954,Jul,20.73
1954,Aug,19.37
1954,Sep,10.06
1954,Oct,48.16
1954,Nov,30.59
1954,Dec,45.14
1955,Jan,71.27
1955,Feb,111.96
1955,Mar,81.94
1955,Apr,39.44
1955,May,59.49
1955,Jun,36.01
1955,Jul,33.1
1955,Aug,27.99
1955,Sep,16.87
1955,Oct,35.49
1955,Nov,34.17
1955,Dec,25.45
1956,Jan,70.02
1956,Feb,129.06
1956,Mar,90.79
1956,Apr,31.4
1956,May,47.72
1956,Jun,38.77
1956,Jul,48.94
1956,Aug,13.6
1956,Sep,13.95
1956,Oct,27.77
1956,Nov,26.41
1956,Dec,62.87
1957,Jan,68.1
1957,Feb,63.52
1957,Mar,62.04
1957,Apr,17.9
1957,May,9.85
1957,Jun,38.34
1957,Jul,19.89
1957,Aug,13.19
1957,Sep,5.82
1957,Oct,14.13
1957,Nov,17.78
1957,Dec,58.12
1958,Jan,61.25
1958,Feb,50.16
1958,Mar,55.94
1958,Apr,28.38
1958,May,28.11
1958,Jun,25.58
1958,Jul,26.54
1958,Aug,27.29
1958,Sep,16.77
1958,Oct,24.16
1958,Nov,32.08
1958,Dec,42.3
1959,Jan,93.52
1959,Feb,43
1959,Mar,51.31
1959,Apr,36.26
1959,May,29.85
1959,Jun,17
1959,Jul,17.82
1959,Aug,11.17
1959,Sep,13.21
1959,Oct,23.13
1959,Nov,24.27
1959,Dec,53.83
1960,Jan,71.98
1960,Feb,101.1
1960,Mar,47.77
1960,Apr,29.06
1960,May,38.58
1960,Jun,11.82
1960,Jul,27.92
1960,Aug,12.59
1960,Sep,20.14
1960,Oct,12.66
1960,Nov,30.11
1960,Dec,54.67
1961,Jan,45.64
1961,Feb,66.78
1961,Mar,28.75
1961,Apr,39.99
1961,May,8.52
1961,Jun,15.68
1961,Jul,17.8
1961,Aug,13.55
1961,Sep,7.5
1961,Oct,12.79
1961,Nov,42.05
1961,Dec,37.09
1962,Jan,113.02
1962,Feb,70.07
1962,Mar,42.63
1962,Apr,15.25
1962,May,29.1
1962,Jun,18.92
1962,Jul,20.49
1962,Aug,16.07
1962,Sep,14.75
1962,Oct,22.59
1962,Nov,17.24
1962,Dec,56.29
1963,Jan,97.27
1963,Feb,80.18
1963,Mar,69.12
1963,Apr,42.6
1963,May,43.53
1963,Jun,25.79
1963,Jul,19.59
1963,Aug,20.59
1963,Sep,10.98
1963,Oct,12.78
1963,Nov,18.59
1963,Dec,34.56
1964,Jan,70.95
1964,Feb,42.26
1964,Mar,54
1964,Apr,32.32
1964,May,22.79
1964,Jun,23.48
1964,Jul,25.24
1964,Aug,15.53
1964,Sep,32.99
1964,Oct,31.9
1964,Nov,32.84
1964,Dec,41.69
1965,Jan,34.74
1965,Feb,22.22
1965,Mar,76.99
1965,Apr,14.47
1965,May,17.8
1965,Jun,24.65
1965,Jul,16.38
1965,Aug,24.21
1965,Sep,10.93
1965,Oct,14.59
1965,Nov,22.04
1965,Dec,66.7
1966,Jan,87.77
1966,Feb,57.05
1966,Mar,26.62
1966,Apr,26.21
1966,May,15.35
1966,Jun,26.75
1966,Jul,14.3
1966,Aug,28.59
1966,Sep,15.03
1966,Oct,23.69
1966,Nov,33.74
1966,Dec,42.46
1967,Jan,71.92
1967,Feb,124.65
1967,Mar,71.13
1967,Apr,6.99
1967,May,20.57
1967,Jun,31.92
1967,Jul,12.79
1967,Aug,15.26
1967,Sep,6.51
1967,Oct,13.84
1967,Nov,15.68
1967,Dec,37.62
1968,Jan,99.84
1968,Feb,96.24
1968,Mar,67.18
1968,Apr,40.31
1968,May,66.16
1968,Jun,39.67
1968,Jul,30.69
1968,Aug,19.91
1968,Sep,12.34
1968,Oct,12.73
1968,Nov,20.7
1968,Dec,38.77
1969,Jan,54.33
1969,Feb,93.15
1969,Mar,64.77
1969,Apr,11.83
1969,May,27.63
1969,Jun,18.06
1969,Jul,17.48
1969,Aug,12.4
1969,Sep,12.79
1969,Oct,27.9
1969,Nov,20
1969,Dec,50.46
1970,Jan,40.05
1970,Feb,54.92
1970,Mar,41.83
1970,Apr,34.06
1970,May,24.31
1970,Jun,13.31
1970,Jul,7.8
1970,Aug,15.35
1970,Sep,30.18
1970,Oct,15.65
1970,Nov,39.07
1970,Dec,63.88
1971,Jan,54.34
1971,Feb,78.36
1971,Mar,91.99
1971,Apr,39.29
1971,May,15.25
1971,Jun,26.86
1971,Jul,18.76
1971,Aug,22.44
1971,Sep,15.4
1971,Oct,17.28
1971,Nov,44.75
1971,Dec,61.61
1972,Jan,60.76
1972,Feb,68.35
1972,Mar,80.29
1972,Apr,15.61
1972,May,12.1
1972,Jun,12.58
1972,Jul,16.45
1972,Aug,17.38
1972,Sep,8.41
1972,Oct,18.35
1972,Nov,31.03
1972,Dec,20.95
1973,Jan,91.34
1973,Feb,98.46
1973,Mar,74.59
1973,Apr,32.96
1973,May,23.62
1973,Jun,37.84
1973,Jul,35.36
1973,Aug,31.99
1973,Sep,26.41
1973,Oct,33.69
1973,Nov,70.14
1973,Dec,84.71
1974,Jan,231.82
1974,Feb,106.93
1974,Mar,87.43
1974,Apr,67.55
1974,May,42.5
1974,Jun,13.34
1974,Jul,29.11
1974,Aug,26.88
1974,Sep,28.95
1974,Oct,40.41
1974,Nov,40.08
1974,Dec,45.57
1975,Jan,59.87
1975,Feb,119.85
1975,Mar,66.35
1975,Apr,32.73
1975,May,13.03
1975,Jun,20.82
1975,Jul,21.66
1975,Aug,21.78
1975,Sep,32.41
1975,Oct,67.28
1975,Nov,34.77
1975,Dec,103.23
1976,Jan,113.26
1976,Feb,134.96
1976,Mar,77.4
1976,Apr,14.43
1976,May,9.93
1976,Jun,11.35
1976,Jul,12.74
1976,Aug,11.7
1976,Sep,16.02
1976,Oct,41.03
1976,Nov,32.79
1976,Dec,47.34
1977,Jan,69.09
1977,Feb,111.79
1977,Mar,81.91
1977,Apr,24.14
1977,May,42.72
1977,Jun,12.88
1977,Jul,7
1977,Aug,9.92
1977,Sep,10.81
1977,Oct,12.81
1977,Nov,33.56
1977,Dec,53.23
1978,Jan,97.04
1978,Feb,64.83
1978,Mar,35.91
1978,Apr,20.45
1978,May,42.14
1978,Jun,37.86
1978,Jul,53.09
